"Himena","히메나","-","JP","A","2008","","1"
"Funa","후우나","-","JP","A","2002","","2"
"Hyewon","혜원","-","KR","A","2005","","3"
"Haseul","하슬","-","KR/US","A","2008","","4"
"Jihyun","지현","-","KR","A","2004","","5"
"Jiwoo","지우","-","KR","A","2001","","6"
"Jeemin","지민","-","KR","A","2005","","7"
"Jeongeun","정은","-","KR","A","2004","","8"
"Iroha","이로하","-","JP","A","2008","","9"
"Yunah","윤아","-","KR","A","2004","","10"
"Yuisa","유이사","-","JP","A","2007","","11"
"Wonhee","원희","-","KR","A","2007","","12"
"Yewon","예원","-","KR","A","2005","","13"
"Youngseo","영서","-","KR","A","2005","","14"
"Ena","에나","-","JP","A","2011","","15"
"Iris","아이리스","-","TH","A","2008","","16"
"Seoyeon","서연","-","KR","A","2008","","17"
"Chanelle","샤넬","-","KR/US","A","2003","","18"
"Minju","민주","-","KR","A","2004","","19"
"Moka","모카","-","JP","A","2004","","20"
"Moa","모아","-","TH","A","2002","","21"
"Ruka","루카","-","JP","A","2005","","22"
